#CODE;RUSSIAN;x
CONVERTING;ПРЕОБРАЗОВАНИЕ;x
opinion_humiliated_family;Унижение моей семьи;x
opinion_humiliated_close_kin;Унижение моего близкого родственника;x
gov_mercenary;Частная военная компания;x
RULE_NOMAD_STABILITY;§BHorse Lords:§! Кочевники;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE;Нестабильны;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE_DESC;Согласно правилам наследования титула кагана, вассалы кочевых орд могут провозгласить независимость, но преемник имеет право отвоевать свои земли.;x
RULE_OPTION_NOMAD_STABILITY_STABLE;Стабильны;x
RULE_OPTION_NOMAD_STABILITY_STABLE_DESC;Вассалы-кочевники НЕ имеют возможность провозгласить независимость при выборах кагана.;x
RULE_DE_JURE_REQUIREMENT;Де-юре сохранность;x
RULE_DE_JURE_REQUIREMENT_DEFAULT_DESC;Де-юре земельные титулы всегда существуют независимо от обстоятельств.;x
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED;Требует обладания;x
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED_DESC;Де-юре земельные титулы со временем исчезают, если землями, принадлежащими этим титулам, никто не обладает.;x
EVTDESC_GR_1;[title_to_destroy.GetTier] [title_to_destroy.GetName] де-юре Вам не принадлежит, ибо землями, относящимия к титулу, Вы не обладаете. Поэтому теперь Вы не можете править этим государством. Отныне Вы рассматриваетесь как обычный претендент на титул вне пределов досягаемости.;x
EVTOPTA_GR_1;Но это мой титул!;x
EVTDESC_GR_11;Теперь [From.GetFullName] мертв[From.GetEndA], и это прекрасная возможность для нас объявить независимость. Конечно, [nomadic_heir.GetFullName] может попытаться отомстить за отказ признать [nomadic_heir.GetHersHis] право как лидера...;x
EVTOPTA_GR_11;[nomadic_heir.GetSheHeCap] не усомнится в нашей верности.;x
EVTOPTB_GR_11;Мы сами вершим свою судьбу!;x
EVTDESC_GR_12;[From.GetFirstName] решил[From.GetEndA] объявить независимость от моего правления.;x
EVTOPTA_GR_12;Я насажу их головы на пики!;x
