#CODE;RUSSIAN;x
AIREASON_ALL_HELP_IS_APPRECIATED;Оценит любую помощь;x
RULER_JOINS_ENEMY_WAR_SETUP;Правитель присоединился к войне против нас;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$WHO$§! присоедини[From.GetLasLsya] к нашему врагу, известному как §Y$ENEMY$§!, в войне (§Y$WAR$§!);x
joined_my_war;Присоединился к нашей войне;x
d_maghreb_corsairs;Магрибский Флот;x
d_maghreb_corsairs_adj;Магриб;x
k_frisia;Фризия;x
k_frisia_adj;Фризиан;x
k_pomerania;Померания;x
k_pomerania_adj;Поморян;x
k_bavaria;Бавария;x
k_bavaria_adj;Бавар;x
PLOT_TO_MURDER;Заговор с целью убийства;x
INITIAL_PLOT_POWER;Начальная сила заговора;x
TITLE_RATING_LOWER_THAN;Имеющийся титул ниже;x
TITLE_RATING_AT_LEAST;Имеющийся титул не ниже;x
LOADING_TIP_48;Назначение кого-либо на должность епископа исключает его из линии наследования;x
LOADING_TIP_50;Жадные персонажи больше всего любят подарки;x
AIREASON_EAGER_TO_MURDER;Аморальный;x
AIREASON_RELUCTANT_TO_MURDER;Угрызения совести;x
TITLE_CANNOT_USURP_SAME_REALM;Невозможно узурпировать титул кого-либо в Вашем государстве, не имея на то сильных претензий;x
REASONING;Аргументация;x
RulerDesignerDLC;Ruler Designer;x
PLOT_CONDITION_FOR_YOU;Должно быть истинно для Вас;x
PLOT_CONDITION_FOR_TARGET;Должно быть истинно для: $TARGET$;x
ALREADY_HAVE_AMBITION;Уже присоединился к заговору $PLOT$;x
SEND_GIFT_INTERACTION_LONG_DESC;Ценный дар персонажу улучшит его мнение о Вас на величину зависящую от Вашего навыка дипломатии и его жадности. Персонажи из Вашего государства будут ценить дары не столь высоко, как иноземцы;x
JOIN_ATTACKER_WARS_EFFECT;Присоединится к нападающему [GetTitledName] в [GetAbsPossPronoun] войне\n;x
JOIN_DEFENDER_WARS_EFFECT;Присоединится к обороняющемуся [GetTitledName] в [GetAbsPossPronoun] войне\n;x
IS_NOT_PRIMARY_WAR_ATTACKER;Не является инициатором войны;x
IS_PRIMARY_WAR_ATTACKER;Инициатор войны;x
IS_NOT_PRIMARY_WAR_DEFENDER;Не является ключевой обороняющейся стороной в войне;x
IS_PRIMARY_WAR_DEFENDER;Ключевая обороняющаяся сторона в войне;x
SET_DE_JURE_LIEGE_EFFECT;§Y$VASSAL$§! станет де-юре вассалом государства §Y$LIEGE$§!\n;x
CONTRIBUTION_PERC_IRO;Роль персонажа $CHAR$: §Y$PERC$%§! (§Y$SCORE$§!);x
ASK_TO_JOIN_WAR_INTERACTION_TITLE;Присоединиться к войне;x
ASK_TO_JOIN_WAR_INTERACTION_DESC;Предложить присоединиться к войне, которую ведёт §Y[Recipient.GetBestName]§!.;x
